iter	Passed	Remaining
831	1499	302
832	1500	300
833	1501	298
834	1503	297
835	1504	295
836	1506	293
837	1507	291
838	1509	289
839	1512	288
840	1514	286
841	1515	284
842	1517	282
843	1518	280
844	1520	278
845	1521	277
846	1524	275
847	1526	273
848	1528	271
849	1530	270
850	1531	268
851	1532	266
852	1534	264
853	1535	262
854	1537	260
855	1542	259
856	1544	257
857	1545	255
858	1547	253
859	1548	252
860	1550	250
861	1551	248
862	1552	246
863	1554	244
864	1556	242
865	1557	241
866	1559	239
867	1560	237
868	1561	235
869	1562	233
870	1564	231
871	1565	229
872	1566	227
873	1568	226
874	1570	224
875	1571	222
876	1573	220
877	1574	218
878	1575	216
879	1576	214
880	1577	213
881	1578	211
882	1579	209
883	1580	207
884	1581	205
885	1583	203
886	1585	202
887	1587	200
888	1588	198
889	1590	196
890	1591	194
891	1592	192
892	1593	190
893	1595	189
894	1596	187
895	1599	185
896	1601	183
897	1603	182
898	1604	180
899	1605	178
900	1607	176
901	1609	174
902	1610	173
903	1613	171
904	1615	169
905	1617	167
906	1618	166
907	1620	164
908	1622	162
909	1623	160
910	1625	158
911	1628	157
912	1630	155
913	1632	153
914	1633	151
915	1635	149
916	1636	148
917	1638	146
918	1639	144
919	1641	142
920	1643	140
921	1645	139
922	1648	137
923	1649	135
924	1651	133
925	1653	132
926	1655	130
927	1658	128
928	1660	126
929	1662	125
930	1664	123
931	1665	121
932	1666	119
933	1668	117
934	1669	116
935	1673	114
936	1675	112
937	1677	110
938	1679	109
939	1681	107
940	1682	105
941	1684	103
942	1685	101
943	1688	100
944	1690	98
945	1691	96
946	1693	94
947	1694	92
948	1695	91
949	1697	89
950	1698	87
951	1700	85
952	1703	84
953	1705	82
954	1706	80
955	1708	78
956	1710	76
957	1711	75
958	1712	73
959	1714	71
960	1715	69
961	1718	67
962	1720	66
963	1721	64
964	1723	62
965	1725	60
966	1727	58
967	1728	57
968	1730	55
969	1732	53
970	1735	51
971	1737	50
972	1738	48
973	1740	46
974	1742	44
975	1743	42
976	1745	41
977	1748	39
978	1750	37
979	1752	35
980	1754	33
981	1756	32
982	1757	30
983	1759	28
984	1760	26
985	1763	25
986	1766	23
987	1767	21
988	1769	19
989	1771	17
990	1773	16
991	1774	14
992	1777	12
993	1779	10
994	1781	8
995	1783	7
996	1785	5
997	1787	3
998	1789	1
999	1790	0
